Continent,Region,Country,"Criminality avg,","Criminal markets avg,",Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Cyber-dependent crimes,Financial crimes,Trade in counterfeit goods,Illicit trade in excisable goods,Extortion and protection racketeering,"Criminal actors avg,",Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Private sector actors,"Resilience avg,",Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Asia,Southern Asia,Afghanistan,7.1,7,9,9.5,9,5.5,3.5,6.5,9.5,1,7.5,9,4,7.5,8.5,9,6,7.2,5,8,9,6,8,1.5,1.5,1,1,1.5,1.5,1.5,3.5,1,1.5,1.5,1.5,1
Africa,North Africa,Libya,6.93,6.57,8.5,9.5,9,1,3.5,9.5,2.5,5.5,7,7.5,3.5,9.5,6,7,9,7.3,9,7.5,9.5,5.5,5,1.54,1.5,1.5,2.5,2,1.5,1.5,1.5,1,2,1,1,1.5
Asia,South-Eastern Asia,Myanmar,8.15,7.7,8.5,8,9,8.5,8.5,9,9.5,3.5,4.5,10,7.5,8.5,6,7,7.5,8.6,9.5,8,9,9,7.5,1.63,1.5,1.5,2,2,1.5,1.5,2,2,1.5,1,1.5,1.5
Asia,Western Asia,Yemen,6.57,5.63,9,9,9.5,2.5,4,7.5,2.5,2,4,4.5,1.5,8,6.5,6,8,7.5,7,8,8,8.5,6,1.75,1.5,1.5,3,2,1.5,2,1.5,2,2,1,1,2
Africa,Central Africa,Central African Republic,6.75,5.6,7.5,5.5,9,7,8,10,1.5,1.5,3.5,7,2,3.5,7,4.5,6.5,7.9,8,8,9,9,5.5,1.79,1.5,1.5,3,2,2,1.5,1.5,2,1.5,2.5,1,1.5
Africa,East Africa,Somalia,6.13,5.27,8,7.5,9,7,5.5,3,2.5,2,2,2.5,2.5,7,6,5,9.5,7,9.5,7.5,7,5.5,5.5,1.79,1.5,1,2.5,2.5,2,1.5,1.5,2,1.5,1,1.5,3
Asia,Eastern Asia,"Korea, DPR",4.82,5.73,8.5,6.5,9,3,3,7.5,4,1.5,5,8,9,8,7.5,4,1.5,3.9,1,3,10,4.5,1,1.79,3,1,2,2,1,1.5,6,1,1,1,1,1
Americas,South America,Venezuela,6.72,6.03,7.5,7.5,8,3.5,3,9,2,9,7,3,3.5,8,5.5,6.5,7.5,7.4,9.5,5,9,7.5,6,1.88,2,1.5,1.5,2,1.5,1.5,3,2,2,1.5,2,2
Africa,East Africa,South Sudan,6.32,5.13,8.5,5.5,8,7,6.5,8.5,2,1.5,4,1,1,7.5,6,5,5,7.5,5,7.5,9,8,8,1.88,2,1.5,2,3,2,2,1.5,1.5,2.5,1,1.5,2
Asia,Western Asia,Syria,7.07,6.43,8.5,9,9,1.5,3.5,8.5,3,2.5,7.5,10,4.5,8,6.5,6.5,8,7.7,4.5,9,10,8,7,1.92,2,1,3.5,2,1.5,2,1.5,2,2,2,2,1.5
Americas,Caribbean & Central,Nicaragua,5.72,5.23,7,6,6,6,6,6.5,2.5,8,6,3.5,3.5,4,6,5.5,2,6.2,5,6.5,9,6.5,4,2.08,1.5,1,2,3,2,2.5,2.5,2.5,2,2,3,1
Africa,Central Africa,Burundi,4.87,4.63,8.5,6.5,8,2,4,4,3,2.5,3.5,3,2,6.5,5.5,6,4.5,5.1,2,4.5,9,4,6,2.17,3,1,2.5,3,2,1.5,3,1.5,2,1.5,2.5,2.5
Asia,Central Asia and the Caucasus,Turkmenistan,4.4,4.4,8.5,5.5,2,2.5,2.5,7,6.5,1.5,4,4,2.5,5.5,4,5,5,4.4,2.5,5,8.5,3.5,2.5,2.21,2,1.5,1.5,2.5,1.5,2,4.5,3.5,2,2,2,1.5
Africa,Central Africa,Equatorial Guinea,4.38,3.57,4.5,2,5.5,8,5,6,2,2,3.5,1.5,1.5,6,2,2,2,5.2,1,2,9,5.5,8.5,2.21,1.5,1,2,5.5,2.5,2,3.5,2,1.5,1.5,2,1.5
Africa,East Africa,Eritrea,3.97,3.93,9,9.5,7.5,1.5,3,2,3,1.5,4,1.5,1.5,4,3,7,1,4,1,5.5,9.5,2.5,1.5,2.33,1,1,2,2.5,2,3,7,3,2.5,1,2,1
Africa,Central Africa,"Congo, Dem, Rep,",7.35,6.2,7.5,5.5,9,9,8,9.5,4,4,7,2.5,2.5,7,6,4,7.5,8.5,9,9,9,9,6.5,2.38,1,1.5,4,3,2.5,1.5,2,2.5,1.5,2,2,5
Africa,West Africa,Mali,5.93,6.47,7.5,7,8,5,5,8,3,6,7,7,5,7,6.5,7,8,5.4,4,7,8,4,4,2.38,2.5,2.5,4,2.5,2.5,2,1.5,2.5,2,1.5,2,3
Africa,Southern Africa,Comoros,3.92,3.73,5,6.5,3.5,3,6,2,4.5,2,3.5,4.5,1.5,5,3.5,4,1.5,4.1,1,4.5,7,5,3,2.38,2,2,3,2.5,2,2,3,4,3,1.5,1.5,2
Africa,Central Africa,Chad,5.5,5.1,7,7.5,8.5,1.5,3.5,8,2,4.5,6,7.5,3,3,5,4.5,5,5.9,5,6.5,8.5,5,4.5,2.42,3,2,5,3,2,2.5,3,2,2,1,1,2.5
Americas,Caribbean & Central,Haiti,5.93,5.77,7.5,7,7,6.5,4.5,6.5,2,8,6.5,3.5,3,7.5,5,5,7,6.1,8.5,6.5,8,4.5,3,2.46,2,1.5,3,4,2.5,2,2,2.5,2,1.5,2.5,4
Asia,Central Asia and the Caucasus,Tajikistan,5.45,4.8,7,6.5,4,2.5,3.5,7,8.5,2,6,5.5,2,6,5.5,3,3,6.1,6,5.5,9,5,5,2.58,3,2,3,2,2,3,3,3,3,2,3,2
Africa,West Africa,Guinea-Bissau,5.1,4.6,5.5,2.5,5.5,8.5,6.5,1,5,8.5,5,2,2,6,3,4,4,5.6,1,8,8.5,6.5,4,2.58,2,2.5,3.5,3,3,3,3.5,3,1.5,1,2,3
